--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
014.719  000.071  000.030: require('mason-nvim-dap.ensure_installed')
014.745  000.025  000.025: require('mason-core.async')
014.785  000.021  000.021: require('mason-core.async.control')
014.805  000.019  000.019: require('mason-core.result')
014.842  000.016  000.016: require('mason-core.async.uv')
014.844  000.038  000.023: require('mason-core.fs')
014.851  000.105  000.027: require('mason-registry.installer')
015.013  000.047  000.047: require('mason-core.process')
015.037  000.023  000.023: require('mason-core.spawn')
015.039  000.091  000.020: require('mason-core.installer.managers.powershell')
015.055  000.015  000.015: require('mason.version')
015.056  000.128  000.022: require('mason-core.fetch')
015.073  000.016  000.016: require('mason-core.providers')
015.192  000.059  000.059: require('mason-core.purl')
015.197  000.085  000.027: require('mason-core.package.AbstractPackage')
015.351  000.034  000.034: require('mason-core.installer.compiler.expr')
015.358  000.082  000.048: require('mason-core.installer.compiler.link')
015.550  000.045  000.045: require('mason-core.installer.context.InstallContextCwd')
015.589  000.038  000.038: require('mason-core.installer.context.InstallContextFs')
015.617  000.027  000.027: require('mason-core.installer.context.InstallContextSpawn')
015.668  000.050  000.050: require('mason-core.receipt')
015.691  000.238  000.078: require('mason-core.installer.context')
015.694  000.271  000.032: require('mason-core.installer')
015.707  000.321  000.050: require('mason-core.installer.managers.std')
015.708  000.349  000.029: require('mason-core.installer.compiler.schemas')
015.748  000.039  000.039: require('mason-core.installer.compiler.util')
015.755  000.516  000.046: require('mason-core.installer.compiler')
015.804  000.048  000.048: require('mason-core.installer.linker')
015.806  000.608  000.044: require('mason-core.installer.InstallRunner')
015.845  000.038  000.038: require('mason-core.installer.UninstallRunner')
015.849  000.760  000.029: require('mason-core.package')
015.851  000.777  000.017: require('mason-registry.sources.util')
015.860  000.956  000.034: require('mason-registry.sources.github')
018.417  000.012  000.012: require('vim.F')
018.488  000.067  000.067: require('mason-nvim-dap.automatic_installation')
018.568  000.076  000.076: require('dap.ext.vscode')
018.616  000.046  000.046: require('mason-nvim-dap.mappings.filetypes')
018.765  000.039  000.039: require('mason-core.notify')
018.780  000.109  000.070: require('mason-nvim-dap.api.command')
019.023  000.029  000.029: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
019.286  000.098  000.098: require('dapui.client.types')
019.290  000.181  000.083: require('dapui.client')
019.350  000.059  000.059: require('dap.breakpoints')
019.399  000.041  000.041: require('dapui.client.lib')
019.507  000.060  000.060: require('dapui.render.canvas')
019.510  000.100  000.039: require('dapui.elements.breakpoints')
019.574  000.050  000.050: require('dapui.components.breakpoints')
019.636  000.037  000.037: require('dapui.elements.repl')
019.673  000.035  000.035: require('dapui.elements.scopes')
019.721  000.034  000.034: require('dapui.components.scopes')
019.832  000.110  000.110: require('dapui.components.variables')
019.944  000.065  000.065: require('dapui.elements.stacks')
020.125  000.095  000.095: require('dapui.components.frames')
020.131  000.160  000.065: require('dapui.components.threads')
020.239  000.052  000.052: require('dapui.elements.watches')
020.395  000.092  000.092: require('dapui.components.watches')
020.445  000.033  000.033: require('dapui.elements.hover')
020.486  000.028  000.028: require('dapui.components.hover')
020.516  000.027  000.027: require('dapui.elements.console')
020.646  000.026  000.026: require('plugins.dap.languages.cpp')
020.678  000.025  000.025: require('plugins.dap.languages.python')
020.748  000.069  000.069: require('dap-python')
020.894  000.044  000.044: require('dap.ui')
020.902  000.115  000.071: require('dap.repl')
021.181  000.017  000.017: sourcing /home/theo/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
021.185  000.044  000.027: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.188  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.194  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.200  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.204  000.000  000.000: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.545  000.043  000.043: require('lualine_require')
021.704  000.465  000.422: require('lualine')
021.805  000.006  000.006: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
021.990  000.028  000.028: require('catppuccin.utils.lualine')
022.023  000.032  000.032: require('catppuccin.palettes')
022.044  000.020  000.020: require('catppuccin.palettes.mocha')
022.241  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.248  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.253  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.257  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.334  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.339  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.343  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.380  000.016  000.016: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.384  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.387  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.391  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.394  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.397  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.400  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.403  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.406  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.425  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
022.433  000.006  000.006: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.062  000.026  000.026: require('lualine.utils.mode')
023.194  000.005  000.005: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.200  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.308  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.314  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.318  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.322  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.325  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.328  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.332  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.337  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.340  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.344  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.347  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.364  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.368  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.371  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.376  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.379  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.383  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.405  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.409  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.412  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.416  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.500  000.003  000.003: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.504  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.506  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.510  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.785  000.005  000.005: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.793  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.798  000.002  000.002: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.801  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.805  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.808  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.812  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.818  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.821  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.825  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.828  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.832  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.835  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.839  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.843  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
023.847  000.001  000.001: sourcing nvim_exec2() called at /home/theo/.config/nvim/init.lua:0
